Meter #,Sec Meter #,Serv Addr,Stat,Meter Type,Account,Serv Loc #,Name,Service Use Type,AMR Transponder ID
157787404,63485883,,8,1,,,,,63485883
157787405,63485853,,8,1,,,,,63485853
157787406,63485852,,8,1,,,,,63485852
157787407,63485855,,8,1,,,,,63485855
157787408,63485863,,8,1,,,,,63485863
157787409,63485881,,8,1,,,,,63485881
157787410,63485880,,8,1,,,,,63485880
157787411,63485882,,8,1,,,,,63485882
157787412,63485876,,8,1,,,,,63485876
157787413,63485857,,8,1,,,,,63485857
157787414,63485868,,8,1,,,,,63485868
157787415,63485879,,8,1,,,,,63485879
157787416,63485866,,8,1,,,,,63485866
157787417,63485870,,8,1,,,,,63485870
157787418,63485846,,8,1,,,,,63485846
157787419,63485872,,8,1,,,,,63485872
157787420,63485871,,8,1,,,,,63485871
157787421,63485875,,8,1,,,,,63485875
157787422,63485784,,8,1,,,,,63485784
157787423,63485788,,8,1,,,,,63485788
157787424,63485873,,8,1,,,,,63485873
157787425,63485867,,8,1,,,,,63485867
157787426,63485803,,8,1,,,,,63485803
157787427,63485789,,8,1,,,,,63485789
157787428,63485786,,8,1,,,,,63485786
157787429,63485785,,8,1,,,,,63485785
157787430,63485817,,8,1,,,,,63485817
157787431,63485798,,8,1,,,,,63485798
157787432,63485799,,8,1,,,,,63485799
157787433,63485836,,8,1,,,,,63485836
157787434,63485794,,8,1,,,,,63485794
157787435,63485800,,8,1,,,,,63485800
157787436,63485824,,8,1,,,,,63485824
157787437,63485829,,8,1,,,,,63485829
157787438,63485826,,8,1,,,,,63485826
157787439,63485797,,8,1,,,,,63485797
157787440,63485850,,8,1,,,,,63485850
157787441,63485787,,8,1,,,,,63485787
157787442,63485801,,8,1,,,,,63485801
157787443,63485802,,8,1,,,,,63485802
157787444,63485831,,8,1,,,,,63485831
157787445,63485795,,8,1,,,,,63485795
157787446,63485830,,8,1,,,,,63485830
157787447,63485827,,8,1,,,,,63485827
157787448,63485838,,8,1,,,,,63485838
157787449,63485834,,8,1,,,,,63485834
157787450,63485812,,8,1,,,,,63485812
157787451,63485818,,8,1,,,,,63485818
157787452,63485796,,8,1,,,,,63485796
157787453,63485823,,8,1,,,,,63485823
157787454,63485837,,8,1,,,,,63485837
157787455,63485813,,8,1,,,,,63485813
157787456,63485820,,8,1,,,,,63485820
157787457,63485848,,8,1,,,,,63485848
157787458,63485835,,8,1,,,,,63485835
157787459,63485840,,8,1,,,,,63485840
157787460,63485791,,8,1,,,,,63485791
157787461,63485839,,8,1,,,,,63485839
157787462,63485815,,8,1,,,,,63485815
157787463,63485816,,8,1,,,,,63485816
157787464,63485833,,8,1,,,,,63485833
157787465,63485811,,8,1,,,,,63485811
157787466,63485841,,8,1,,,,,63485841
157787467,63485825,,8,1,,,,,63485825
157787468,63485804,,8,1,,,,,63485804
157787469,63485805,,8,1,,,,,63485805
157787470,63485832,,8,1,,,,,63485832
157787471,63485828,,8,1,,,,,63485828
157787472,63485793,,8,1,,,,,63485793
157787473,63485814,,8,1,,,,,63485814
157787474,63485807,,8,1,,,,,63485807
157787475,63485844,,8,1,,,,,63485844
157787476,63484144,,8,1,,,,,63484144
157787477,63484165,,8,1,,,,,63484165
157787478,63484145,,8,1,,,,,63484145
157787479,63485822,,8,1,,,,,63485822
157787480,63484149,,8,1,,,,,63484149
157787481,63485819,,8,1,,,,,63485819
157787482,63484134,,8,1,,,,,63484134
157787483,63484129,,8,1,,,,,63484129
157787484,63484163,,8,1,,,,,63484163
157787485,63485449,,8,1,,,,,63485449
157787486,63485878,,8,1,,,,,63485878
157787487,63484135,,8,1,,,,,63484135
157787488,63485452,,8,1,,,,,63485452
157787489,63484158,,8,1,,,,,63484158
157787490,63484157,,8,1,,,,,63484157
157787491,63485451,,8,1,,,,,63485451
157787492,63485456,,8,1,,,,,63485456
157787493,63484084,,8,1,,,,,63484084
157787494,63485447,,8,1,,,,,63485447
157787495,63485454,,8,1,,,,,63485454
157787496,63484151,,8,1,,,,,63484151
157787497,63484143,,8,1,,,,,63484143
157787498,63484166,,8,1,,,,,63484166
157787499,63485448,,8,1,,,,,63485448
157787500,63484154,,8,1,,,,,63484154
157787501,63484167,,8,1,,,,,63484167
157787502,63484140,,8,1,,,,,63484140
157787503,63485453,,8,1,,,,,63485453
157787504,63484147,,8,1,,,,,63484147
157787505,63484093,,8,1,,,,,63484093
157787506,63484108,,8,1,,,,,63484108
157787507,63484097,,8,1,,,,,63484097
157787508,63484160,,8,1,,,,,63484160
157787509,63484156,,8,1,,,,,63484156
157787510,63484087,,8,1,,,,,63484087
157787511,63484139,,8,1,,,,,63484139
157787512,63484150,,8,1,,,,,63484150
157787513,63484091,,8,1,,,,,63484091
157787514,63484096,,8,1,,,,,63484096
157787515,63484085,,8,1,,,,,63484085
157787516,63484088,,8,1,,,,,63484088
157787517,63484137,,8,1,,,,,63484137
157787518,63485792,,8,1,,,,,63485792
157787519,63484102,,8,1,,,,,63484102
157787520,63485450,,8,1,,,,,63485450
157787521,63484155,,8,1,,,,,63484155
157787522,63485455,,8,1,,,,,63485455
157787523,63484138,,8,1,,,,,63484138
157787524,63484095,,8,1,,,,,63484095
157787525,63484094,,8,1,,,,,63484094
157787526,63484100,,8,1,,,,,63484100
157787527,63484092,,8,1,,,,,63484092
157787528,63484090,,8,1,,,,,63484090
157787529,63484106,,8,1,,,,,63484106
157787530,63484086,,8,1,,,,,63484086
157787531,63484107,,8,1,,,,,63484107
157787532,63484104,,8,1,,,,,63484104
157787533,63484101,,8,1,,,,,63484101
157787534,63484105,,8,1,,,,,63484105
157787535,63484099,,8,1,,,,,63484099
157787536,63484098,,8,1,,,,,63484098
157787537,63484118,,8,1,,,,,63484118
157787538,63484103,,8,1,,,,,63484103
157787539,63484112,,8,1,,,,,63484112
157787540,63484089,,8,1,,,,,63484089
157787541,63484130,,8,1,,,,,63484130
157787542,63484111,,8,1,,,,,63484111
157787543,63484125,,8,1,,,,,63484125
157787544,63484121,,8,1,,,,,63484121
157787545,63484132,,8,1,,,,,63484132
157787546,63484110,,8,1,,,,,63484110
157787547,63484114,,8,1,,,,,63484114
157787548,63484124,,8,1,,,,,63484124
157787549,63484122,,8,1,,,,,63484122
157787550,63484117,,8,1,,,,,63484117
157787551,63484109,,8,1,,,,,63484109
157787552,63484136,,8,1,,,,,63484136
157787553,63484128,,8,1,,,,,63484128
157787554,63484127,,8,1,,,,,63484127
157787555,63484119,,8,1,,,,,63484119
157787556,63484123,,8,1,,,,,63484123
157787557,63484113,,8,1,,,,,63484113
157787558,63484133,,8,1,,,,,63484133
157787559,63484126,,8,1,,,,,63484126
157787560,63460947,,8,1,,,,,63460947
157787561,63484116,,8,1,,,,,63484116
157787562,63484131,,8,1,,,,,63484131
157787563,63460921,,8,1,,,,,63460921
157787564,63460948,,8,1,,,,,63460948
157787565,63460938,,8,1,,,,,63460938
157787566,63460925,,8,1,,,,,63460925
157787567,63484115,,8,1,,,,,63484115
157787568,63460933,,8,1,,,,,63460933
157787569,63460910,,8,1,,,,,63460910
157787570,63460943,,8,1,,,,,63460943
157787571,63460942,,8,1,,,,,63460942
157787572,63484120,,8,1,,,,,63484120
157787573,63460957,,8,1,,,,,63460957
157787574,63460964,,8,1,,,,,63460964
157787575,63460958,,8,1,,,,,63460958
157787576,63460970,,8,1,,,,,63460970
157787577,63460956,,8,1,,,,,63460956
157787578,63460954,,8,1,,,,,63460954
157787579,63460928,,8,1,,,,,63460928
157787580,63460969,,8,1,,,,,63460969
157787581,63460951,,8,1,,,,,63460951
157787582,63460962,,8,1,,,,,63460962
157787583,63460940,,8,1,,,,,63460940
157787584,63460966,,8,1,,,,,63460966
157787585,63460945,,8,1,,,,,63460945
157787586,63460963,,8,1,,,,,63460963
157787587,63460927,,8,1,,,,,63460927
157787588,63460953,,8,1,,,,,63460953
157787589,63460961,,8,1,,,,,63460961
157787590,63460959,,8,1,,,,,63460959
157787591,63460955,,8,1,,,,,63460955
157787592,63460974,,8,1,,,,,63460974
157787593,63460978,,8,1,,,,,63460978
157787594,63460944,,8,1,,,,,63460944
157787595,63460971,,8,1,,,,,63460971
157787596,63460950,,8,1,,,,,63460950
157787597,63460946,,8,1,,,,,63460946
157787598,63460894,,8,1,,,,,63460894
157787599,63460976,,8,1,,,,,63460976
157787600,63460973,,8,1,,,,,63460973
157787601,63460972,,8,1,,,,,63460972
157787602,63460975,,8,1,,,,,63460975
157787603,63460967,,8,1,,,,,63460967
157787604,63460977,,8,1,,,,,63460977
157787605,63460980,,8,1,,,,,63460980
157787606,63460979,,8,1,,,,,63460979
157787607,63460886,,8,1,,,,,63460886
157787608,63460965,,8,1,,,,,63460965
157787609,63460914,,8,1,,,,,63460914
157787610,63460892,,8,1,,,,,63460892
157787611,63460891,,8,1,,,,,63460891
157787612,63460983,,8,1,,,,,63460983
157787613,63460896,,8,1,,,,,63460896
157787614,63460968,,8,1,,,,,63460968
157787615,63460960,,8,1,,,,,63460960
157787616,63460884,,8,1,,,,,63460884
157787617,63460897,,8,1,,,,,63460897
157787618,63460887,,8,1,,,,,63460887
157787619,63460888,,8,1,,,,,63460888
157787620,63460903,,8,1,,,,,63460903
157787621,63460981,,8,1,,,,,63460981
157787622,63460885,,8,1,,,,,63460885
157787623,63460893,,8,1,,,,,63460893
157787624,63460899,,8,1,,,,,63460899
157787625,63460916,,8,1,,,,,63460916
157787626,63460889,,8,1,,,,,63460889
157787627,63460902,,8,1,,,,,63460902
157787628,63460982,,8,1,,,,,63460982
157787629,63460913,,8,1,,,,,63460913
157787630,63460912,,8,1,,,,,63460912
157787631,63460919,,8,1,,,,,63460919
157787632,63460905,,8,1,,,,,63460905
157787633,63460901,,8,1,,,,,63460901
157787634,63460900,,8,1,,,,,63460900
157787635,63460898,,8,1,,,,,63460898
157787636,63460890,,8,1,,,,,63460890
157787637,63460907,,8,1,,,,,63460907
157787638,63460895,,8,1,,,,,63460895
157787639,63460924,,8,1,,,,,63460924
157787640,63460922,,8,1,,,,,63460922
157787641,63460911,,8,1,,,,,63460911
157787642,63460917,,8,1,,,,,63460917
157787643,63460920,,8,1,,,,,63460920
157787644,63460952,,8,1,,,,,63460952
157787645,63460941,,8,1,,,,,63460941
157787646,63460936,,8,1,,,,,63460936
157787647,63486755,,8,1,,,,,63486755
157787648,63460915,,8,1,,,,,63460915
157787649,63460930,,8,1,,,,,63460930
157787650,63460908,,8,1,,,,,63460908
157787651,63460906,,8,1,,,,,63460906
157787652,63460904,,8,1,,,,,63460904
157787653,63460931,,8,1,,,,,63460931
157787654,63460926,,8,1,,,,,63460926
157787655,63460929,,8,1,,,,,63460929
157787656,63460923,,8,1,,,,,63460923
157787657,63460937,,8,1,,,,,63460937
157787658,63460934,,8,1,,,,,63460934
157787659,63460909,,8,1,,,,,63460909
157787660,63486741,,8,1,,,,,63486741
157787661,63460918,,8,1,,,,,63460918
157787662,63486740,,8,1,,,,,63486740
157787663,63460932,,8,1,,,,,63460932
157787664,63486739,,8,1,,,,,63486739
157787665,63486746,,8,1,,,,,63486746
157787666,63486754,,8,1,,,,,63486754
157787667,63486751,,8,1,,,,,63486751
157787668,63486736,,8,1,,,,,63486736
157787669,63486752,,8,1,,,,,63486752
157787670,63460939,,8,1,,,,,63460939
157787671,63486744,,8,1,,,,,63486744
157787672,63486729,,8,1,,,,,63486729
157787673,63486734,,8,1,,,,,63486734
157787674,63486745,,8,1,,,,,63486745
157787675,63486738,,8,1,,,,,63486738
157787676,63486760,,8,1,,,,,63486760
157787677,63486742,,8,1,,,,,63486742
157787678,63486728,,8,1,,,,,63486728
157787679,63486747,,8,1,,,,,63486747
157787680,63486764,,8,1,,,,,63486764
157787681,63486763,,8,1,,,,,63486763
157787682,63486757,,8,1,,,,,63486757
157787683,63486758,,8,1,,,,,63486758
157787684,63460935,,8,1,,,,,63460935
157787685,63486782,,8,1,,,,,63486782
157787686,63486768,,8,1,,,,,63486768
157787687,63486766,,8,1,,,,,63486766
157787688,63486753,,8,1,,,,,63486753
157787689,63486756,,8,1,,,,,63486756
157787690,63486762,,8,1,,,,,63486762
157787691,63486719,,8,1,,,,,63486719
157787692,63486748,,8,1,,,,,63486748
157787693,63460949,,8,1,,,,,63460949
157787694,63486770,,8,1,,,,,63486770
157787695,63486750,,8,1,,,,,63486750
157787696,63486777,,8,1,,,,,63486777
157787697,63486759,,8,1,,,,,63486759
157787698,63486773,,8,1,,,,,63486773
157787699,63486749,,8,1,,,,,63486749
157787700,63486761,,8,1,,,,,63486761
157787701,63486771,,8,1,,,,,63486771
157787702,63486765,,8,1,,,,,63486765
157787703,63486774,,8,1,,,,,63486774
157787704,63486767,,8,1,,,,,63486767
157787705,63486779,,8,1,,,,,63486779
157787706,63486775,,8,1,,,,,63486775
157787707,63486776,,8,1,,,,,63486776
157787708,63486699,,8,1,,,,,63486699
157787709,63486778,,8,1,,,,,63486778
157787710,63486689,,8,1,,,,,63486689
157787711,63486769,,8,1,,,,,63486769
157787712,63486701,,8,1,,,,,63486701
157787713,63486687,,8,1,,,,,63486687
157787714,63486783,,8,1,,,,,63486783
157787715,63486780,,8,1,,,,,63486780
157787716,63486772,,8,1,,,,,63486772
157787717,63486712,,8,1,,,,,63486712
157787718,63486705,,8,1,,,,,63486705
157787719,63486696,,8,1,,,,,63486696
157787720,63486686,,8,1,,,,,63486686
157787721,63486709,,8,1,,,,,63486709
157787722,63486698,,8,1,,,,,63486698
157787723,63486710,,8,1,,,,,63486710
157787724,63486707,,8,1,,,,,63486707
157787725,63486711,,8,1,,,,,63486711
157787726,63486684,,8,1,,,,,63486684
157787727,63486685,,8,1,,,,,63486685
157787728,63486695,,8,1,,,,,63486695
157787729,63486718,,8,1,,,,,63486718
157787730,63486717,,8,1,,,,,63486717
157787731,63486781,,8,1,,,,,63486781
157787732,63486721,,8,1,,,,,63486721
157787733,63486704,,8,1,,,,,63486704
157787734,63486727,,8,1,,,,,63486727
157787735,63486694,,8,1,,,,,63486694
157787736,63486703,,8,1,,,,,63486703
157787737,63486731,,8,1,,,,,63486731
157787738,63486720,,8,1,,,,,63486720
157787739,63486700,,8,1,,,,,63486700
