BATCH,ADD,PATH,81999765,LAKESIDE,All,ALL,ALL,LG,ALL
BATCH,ADD,PATH,81999800,LAKESIDE,All,ALL,ALL,LG,ALL
BATCH,ADD,PATH,81999816,LAKESIDE,All,ALL,ALL,LG,ALL
BATCH,ADD,PATH,81999812,LAKESIDE,All,ALL,ALL,LG,ALL
BATCH,ADD,PATH,81999822,LAKESIDE,All,ALL,ALL,LG,ALL
BATCH,ADD,PATH,81999773,LAKESIDE,All,ALL,ALL,LG,ALL
BATCH,ADD,PATH,81999754,LAKESIDE,All,ALL,ALL,LG,ALL
BATCH,ADD,PATH,83266245,LAKESIDE,All,ALL,ALL,LG,ALL
BATCH,ADD,PATH,83266300,LAKESIDE,All,ALL,ALL,LG,ALL
BATCH,ADD,PATH,83266295,LAKESIDE,All,ALL,ALL,LG,ALL
BATCH,ADD,PATH,83266260,LAKESIDE,All,ALL,ALL,LG,ALL
BATCH,ADD,PATH,83266264,LAKESIDE,All,ALL,ALL,LG,ALL
BATCH,ADD,PATH,83266294,LAKESIDE,All,ALL,ALL,LG,ALL
BATCH,ADD,PATH,83266307,LAKESIDE,All,ALL,ALL,LG,ALL
BATCH,ADD,PATH,83266309,LAKESIDE,All,ALL,ALL,LG,ALL
BATCH,ADD,PATH,83266299,LAKESIDE,All,ALL,ALL,LG,ALL
BATCH,ADD,PATH,83266286,LAKESIDE,All,ALL,ALL,LG,ALL
BATCH,ADD,PATH,83266253,LAKESIDE,All,ALL,ALL,LG,ALL
BATCH,ADD,PATH,83266302,LAKESIDE,All,ALL,ALL,LG,ALL
BATCH,ADD,PATH,83266320,LAKESIDE,All,ALL,ALL,LG,ALL
BATCH,ADD,PATH,83266285,LAKESIDE,All,ALL,ALL,LG,ALL
BATCH,ADD,PATH,83266298,LAKESIDE,All,ALL,ALL,LG,ALL
BATCH,ADD,PATH,83266304,LAKESIDE,All,ALL,ALL,LG,ALL
BATCH,ADD,PATH,83266324,LAKESIDE,All,ALL,ALL,LG,ALL
BATCH,ADD,PATH,83266293,LAKESIDE,All,ALL,ALL,LG,ALL
BATCH,ADD,PATH,83266318,LAKESIDE,All,ALL,ALL,LG,ALL
BATCH,ADD,PATH,83266230,LAKESIDE,All,ALL,ALL,LG,ALL
BATCH,ADD,PATH,83266316,LAKESIDE,All,ALL,ALL,LG,ALL
BATCH,ADD,PATH,83266305,LAKESIDE,All,ALL,ALL,LG,ALL
BATCH,ADD,PATH,83266243,LAKESIDE,All,ALL,ALL,LG,ALL
BATCH,ADD,PATH,83266317,LAKESIDE,All,ALL,ALL,LG,ALL
BATCH,ADD,PATH,83266285,LAKESIDE,All,ALL,ALL,LG,ALL
BATCH,ADD,PATH,83266323,LAKESIDE,All,ALL,ALL,LG,ALL
BATCH,ADD,PATH,83266311,LAKESIDE,All,ALL,ALL,LG,ALL
BATCH,ADD,PATH,83266262,LAKESIDE,All,ALL,ALL,LG,ALL
BATCH,ADD,PATH,83266327,LAKESIDE,All,ALL,ALL,LG,ALL
BATCH,ADD,PATH,83266306,LAKESIDE,All,ALL,ALL,LG,ALL
BATCH,ADD,PATH,83266310,LAKESIDE,All,ALL,ALL,LG,ALL
BATCH,ADD,PATH,83266233,LAKESIDE,All,ALL,ALL,LG,ALL
BATCH,ADD,PATH,83266315,LAKESIDE,All,ALL,ALL,LG,ALL
BATCH,ADD,PATH,83266282,LAKESIDE,All,ALL,ALL,LG,ALL
BATCH,ADD,PATH,82890421,LAKESIDE,All,ALL,ALL,LG,ALL
BATCH,ADD,PATH,82890426,LAKESIDE,All,ALL,ALL,LG,ALL
BATCH,ADD,PATH,83266272,LAKESIDE,All,ALL,ALL,LG,ALL
BATCH,ADD,PATH,83266266,LAKESIDE,All,ALL,ALL,LG,ALL
